id,title,reason,description,create_time,equipment,location,gz_tag,qj_tag,xw_tag
2644,解放CA1091汽车分电器盖窜气故障,拆下火花塞，发现有机油等杂质，重新更换火花塞后，故障依旧，于是怀疑是长六缸气门研磨时不合格造成的，拆下气缸盖，检查气门，没有发现异常，检查活塞时，发现第一道气门断裂。检查气缸壁时，发现缸肩没有括过。刮削缸肩后，更换新环装复后试车，故障消除。,一辆解放CA1091汽车三级保养后，行驶不足三千公里时，第六缸出现工作不良。,2017/1/7 0:00,解放CA1091汽车,北京,活塞环折断,活塞,没有阅读说明书
2645,CA1092E运输车发动机连续开锅故障,按发动机开锅的故障进行分步检查排除，首先对水泵和节温器进行检查，用手握住水箱进水管中部，同时提高发动机的转速，手感压力明显增强，且水箱加水口处有翻水现象，说明水泵和节温器工作正常，用手按风扇皮带挠度，松紧度适当，此时怀疑发动机 开锅后，发动机水道内积有水蒸气，致使冷却水难以加足，为此让发动机怠速时加水，加满水后继续行驶，不久又开锅，。停车进行全面检查，发现发动机在高速时风扇有停滞现象，降低了转速，拆下皮带，发现皮带表面附有一层油污，致使发动机 高速时水泵的传速不能于水泵同步。更换新的风扇皮带后，故障排除。,边防某团有一台CA1092E型载重车，行驶不到30公里发动机出现开锅现象，当时以为是冷却水不足引起，加足冷却水继续行驶，不久又出现同样的故障。,2017/1/7 0:00,CA1092E运输车,北京,开锅故障,发动机,责任心不强
2646,解放CA1091汽车机油尺屡次跳出何故,装好机油尺，起动车辆且加速运转一段时间，机油尺又跳了出来，且有气泡冒出，，说明内曲轴箱内有高压气体，故障可能出在曲轴箱通风装置上，经检查发现与通风管相连的单向阀口被堵塞，导致曲轴箱内的废气压力增加，其它部位又处于密封状态，造成了机油尺屡次跳出的原因。清洗、保养单向阀后装复，故障排除。,有一辆CA1091运输车，机油尺屡次跳出，且有明显的声音，发现机油尺口有机油溅出。,2017/1/7 0:00,解放CA1091汽车,北京,机油尺屡次跳出,机油尺,不定时检查车况
2647,解放CA1091运输车消声器经常爆裂,出现消声器放炮的原因初步判断有两种可能，一种是点火过迟、一种为混合气过浓。从这两方面入手进行检查，首先从电路入手，检查点火是否过迟，并调整，故障没有得到解决；检查化油器的油平面，油平面正常，还是从电路方面进行检查，发现点火系时好时坏，重点检查分电器，拆下分时电器进行检查，发现分电器的低压线有磨破的地方，导致一时工作良好，一时工作不良，对应的油路仍然工作，没有燃烧的油排到消声器中，引起燃烧导致消声器放炮、甚至爆裂。把分电器内部装用的硬质橡胶的低压线更换成软质线，故障排除。,我部有一台CA1091运输车经过2年的使用后，消声器经常出现有轻微的放炮声，最后，导致消声器爆裂。,2017/1/7 0:00,解放CA1091汽车,北京,消声器爆裂,消音器,驾驶不当
2648,解放CA1090汽车气缸盖上有沙眼引起水箱开锅,分析引起开锅的原因有,一台解放CA1090运输车，在行驶过程中水箱开锅，打开发动机机盖时，发现从水箱溢出白色泡沫，并有微量的机油味。,2017/1/13 0:00,解放CA1090汽车,北京,水箱开锅,水箱,意外
2649,解放CA1092汽车发动机工作不良,经检查，油路通畅，换一化油器，未能排除故障。拨出各缸高压线试火，各缸有火，但火花较弱，查看分电器触点，有严重烧蚀现象；更换白金后试车，发动机工作有所好转，但故障并未根除。时间不长，故障又重新出现，再看分电器触点又有烧蚀现象，拆下分电器容电器引线刮火火花强烈，说明容电器良好，最后对爆燃限制器进行检查，取一12V直流试灯，一端接爆燃限制器一个插孔引出的黑线，加一端搭铁，此灯不亮，说明爆燃限制器损坏。更换已损坏的爆燃限制器，故障彻底排除。,一辆CA1092型汽车，发动机起动困难，即使起动，发动机运转也不平稳，且有熄火征兆和排气管有突突声及冒黑烟。,2017/1/13 0:00,解放CA1092汽车,北京,发动机工作不良,燃爆限制器,修理不当
2650, EQ1090型汽车运货出现震动,先检查底盘各部位螺栓紧固连接情况，有无装配不合理和漏油等现象，未发现异常。后支车试运转检查离合器、变速器、传动轴、后桥，均无异响。再针对司机介绍的情况，将重点放在后桥、传动轴的拆解检验上，特别是对后桥各部间隙、啮合印痕进行了测量，未发现有造成异响的原因。最后装复后进行重载试验，故障依然存在。但此时发现后桥钢板弹簧两侧片数虽然一致，但左、右高度不一致。经检查，右钢板弹簧的中间垫板装反了。重新装复后试验，异响排除。原来，中间垫板装反后，造成左、右钢板弹簧高度变化不一致，且受力不均，导致了异响和振动。,一辆 EQ1090型汽车，大修后承接时行驶正常，但载货行驶时传动部分出现振动和异响，特别是重载时异响更加明显，以至于不能长途运输物资。,2017/1/13 0:00,EQ1090型汽车,北京,异响,垫板,上次修理失当
2651, EQ1090型汽车起动机轴承磨损导致起动困,本车为教练车，起动机使用频繁，造成轴承磨损量过大，才使转子与定子相互摩擦。前期由于磨损较小，转子与定子之间时而短路，时而不短路，虽然还能转动，但转矩却达不到发动机起动时所需的数值。后期由于磨损加剧，转子与定子之间短路更加严重，起动机不能转动且发热。起动机轴承磨损严重，已难以修复，只能更换新品。,一辆EQlo90型教练车，无论冷车和热车，在用起动机起动时，先期是转矩变小，难以起动，后来逐渐变得不能转动。,2017/1/13 0:00,EQ1090型汽车,北京,启动困难,起动机轴承,知道故障不修理
2652, EQ1090型汽车行驶无力,当用手摇臂泵油时，由于它和内摇臂连在一起，汽油泵泵油有力，很容易忽略是汽油泵故障。正是由于汽油泵的外摇臂与凸轮轴的偏心轮接触处明显出现沟槽，偏心轮顶动外摇臂时，由于间隙增大，使汽油泵膜片行程减小，吸油量不足，不能满足汽车急加速及大负荷运行的要求，致使出现上述故障。,我部一辆EQ1090型汽车，在一般工况下行驶时（中、小负荷）动力尚可，但急加速及大负荷运行时，动力明显不足。,2017/1/13 0:00,EQ1090型汽车,北京,行驶无力,汽油泵,驾驶不当
2653, EQ1090E型汽车不启动,关闭点火开关，用试灯检查继电器电源接柱，试灯亮，正常。连接复合继电器电源与点火锁接柱，起动机无反应，鉴于已多次更换继电器，需进一步检查。连接复合继电器电源与起动机接往，起动机运转正常，说明起动机无故障，进一步确定故障有可能出在继电器之前。进一步分析电路，该型复合继电器的起动继电器线圈电路受保护继电器常闭触点控制，而该触点又受保护继电器线圈电路控制。按正常情况，起动前继电器中性点接柱没有电压输人，因而触点常闭，起动继电器应  正常工作。但问题会不会出在  这部分呢？询问驾驶员充电系  工作情况，驾驶员回答发现充  电电流偏小。,一辆EQ 1090E型汽车在打开点火开关起动时，出现起动机无任何反应故障。更换了多个复合继电器与电磁起动开关均无效。,2017/1/13 0:00,EQ1090E型汽车,北京,启动困难,二极管,责任心不强
2654, 东风铁甲启动困难,关闭点火开关，用试灯检查继电器电源接柱，试灯亮。连接复合继电器电源与起动机接往，起动机运转正常，说明起动机无故障，进一步确定故障有可能出在继电器之前。进一步分析电路，该型复合继电器的起动继电器线圈电路受保护继电器常闭触点控制，而该触点又受保护继电器线圈电路控制。在点火开关关闭的情况下进一步检查用试灯检查复合继电器中性点接柱，试灯亮，此处出现异常。分解发电机，检查硅整流器，发现一支正二极管击穿短路。更换正极元件板后装复，故障排除。因正二极管短路，蓄电池电流经该二极管流经定子线圈，再经发电机N接柱后向保护继电器供电，致使常闭触点常开，起动继电器不能工作。该故障十分隐蔽，用典型的起动系故障诊断方法难以确诊。,一辆东风铁甲在打开点火开关起动时，起动机无任何反应。更换了多个复合继电器与电磁起动开关均无法修复。,2017/1/30 0:00,东风铁甲,北京,启动困难,二极管,不定时检查车况
2655, EQ1090型汽车气缸盖碗形塞锈穿故障,抽出机油尺，发现机油平面明显升高，且机油呈灰白色。拆下气缸盖检查发现，气缸垫无明显冲坏处，但由于曲轴箱、气缸已进水，加之气缸垫已老化，综合上述现象，凭经验更换了气缸垫。发动车辆行驶3km左右，原故障又出现，再检查气缸垫，未  发现冲坏现象。目测气缸体及  气缸盖，无破裂现象，本着先  简后繁的原则，对气缸盖进行  水压测试。结果发现气缸盖上  的碗形塞（俗称堵头）锈穿。更换碗形塞后试车，故障排除。由于碗形塞与气缸盖的材质不同，结构较薄，又在高温和水的浸泡环境  中工作，容易锈蚀和松脱。因此，对气缸盖碗形塞也应适时检查。,一辆EQ 1090型汽车，发动机工作时出现动力不足，发出无节奏的突突声，消声器冒黑烟。,2017/1/30 0:00,EQ1090型汽车,北京,气缸盖碗形塞锈穿,气缸,上次修理失当
2656, EQ1090E型汽车启动困难,关闭点火开关，用试灯检查继电器电源接柱，试灯亮，正常。连接复合继电器电源与点火锁接柱，起动机无反应，鉴于已多次更换继电器，需进一步检查。按正常情况，起动前继电器中性点接柱没有电压输人，因而触点常闭，起动继电器应正常工作。在点火开关关闭的情况下进一步检查用试灯检查复合继电器中性点接柱，试灯亮，此处出现异常。拆下发电机N接柱上的导线，用试灯检查该接柱，试灯亮，打开点火开关，起动正常，断定故障在发电机硅整流器。分解发电机，检查硅整流器，发现一支正二极管击穿短路。更换正极元件板后装复，故障排除。该故障十分隐蔽，用典型的起动系故障诊断方法难以确诊。,一辆EQ 1090E型汽车在打开点火开关起动时，出现起动机无任何反应故障。更换了多个复合继电器与电磁起动开关均无效。,2017/1/30 0:00,EQ1090E型汽车,北京,启动困难,二极管,没有阅读说明书
2657, EQ1090型汽车气缸盖锈穿故障,抽出机油尺，发现机油平面明显升高，且机油呈灰白色。拆下气缸盖检查发现，气缸垫已老化，凭经验更换了气缸垫。发动车辆行驶3km左右，原故障又出现，再检查气缸垫，未发现冲坏现象。目测气缸体及气缸盖，无破裂现象，本着先简后繁的原则，对气缸盖进行水压测试。发现气缸盖上的碗形塞锈穿。更换碗形塞后试车，故障排除。由于碗形塞与气缸盖的材质不同，结构较薄，又在高温和水的浸泡环境中工作，容易锈蚀和松脱。,一辆EQ 1090型汽车，发动机工作时出现动力不足，发出无节奏异响，并会黑烟。,2017/1/30 0:00,EQ1090型汽车,北京,气缸盖锈穿,气缸,没有阅读说明书
2658, EQ1090型汽车发动机汽油泵故障,该车装用EQ6l00-1 型发动机。起初以为这一现象是油箱无汽油或管路进油处破裂造成。检查发现，汽油管路正常。对汽油泵进行手泵油和机械泵油性能比较，状态良好，但发现汽油泵开始泵油后一段时间，燃油不能控制在油泵内的油腔里，不但进不了化油器，反而倒流进油箱内。拆下汽油泵油杯盖，取出进、出油阀，检查弹簧、阀片和密封圈，发现出油阀与阀片密封不良。本想将阀座与阀片稍为研磨一下，因在野外，条件不具备，只好将进、出油阀进行调换试验，故障随即排除，而且泵油性能明显提高。,一辆EQ 1090型汽车在进人大别山人烟稀少地区路途中，突然出现燃料系向发动机供油时断时续，造成发动机最终熄火。,2017/1/30 0:00,EQ1090型汽车,北京,汽油泵故障,发动机,驾驶不当
2659, EQ1090型汽车电路故障,发动机在低转速时，因触点闭合时间相对较长，有足够的能量使高压线圈中感应出高电压。在用分缸线跳火进行试验时，有足够的电压击穿被腐蚀的高电阻分缸线，故表现为跳火正常；当发动机转速升高后，触点闭合时间相对缩短，无法在高压线圈中感应上很高电压，不足以击穿高电阻分缸线，而使该缸不工作，从而表现为少数缸不工作症状。当触点逐渐烧蚀，通过的电流愈来愈小，使高压线圈中的感应电压逐渐变化，表现出发动机由高速时少数缸不工作而逐渐演化为中速、低速。急速时少数缸不工作的现象，待换修白金触点后又好转。,一辆EQ1090型汽车，已行驶 6万多 km。行驶中逐渐感到动力下降，化油器回大放炮，难以起步。经检查发现白金触点烧蚀，修磨后发动机能正常工作。但不久又出现上述故障现象。如此每行驶20多km，需修磨一次触点。检查分电器上电容器，性能良好；又并联上一只电容器，此故障现象依然存在。,2017/1/30 0:00,EQ1090型汽车,北京,分缸线故障,分缸线,上次修理失当
2660, EQ1090E型严重漏油,该车原来的木质油封条配合松旷造成漏油，用石棉线代替后问题更加严重，说明填塞石棉线的方法不当。经拆卸 第7道主轴承盖检查，果然发现石棉线垫得太多，超出了气缸体主轴承盖的平面，使第7道主轴承盖与气缸体接触平面间形成缝隙，主轴承盖上的油封与曲轴主轴颈间产生缝隙，造成严重漏油。先拆掉离合器壳底盖，将油迹擦干，再使发动机运转，确认机油从第7道主轴瓦盖两侧流出。将多余的石棉线去掉铲平后，装复试验，故障排除。,一辆已经行驶1万 km的  EQ1090E型汽车，发动机后端出现严重漏油。拆检时，发现曲轴后主轴承盖（第7道主轴承盖）的木质油封条配合松旷，用石棉线代替后漏油更加严重。机油从离合器壳底盖小孔处流出，离合器壳内都是机油，但飞轮上无机油。经仔细观察，发现机油是从第7道主轴承盖两侧流出的。,2017/1/30 0:00,EQ1090型汽车,北京,漏油,轴承,修理不当
2661, EQ1090型汽车行驶摇头,根据故障现象，首先对前轮进行换位，并调整前轮前束，保养轮毂轴承和横、直拉杆之后进行试车，摇头现象仍存在；更换转向主销衬套后再试车，也无明显好转。经反复检查，怀疑可能是前钢板弹簧销配合松旷引起。在拆卸、保养钢板弹簧时发现，钢板销衬套已严重磨损并破裂。更换钢板销衬套后试车，行驶正常。,一辆EQ 1090型汽车在进人大别山人烟稀少地区路途中，突然出现燃料系向发动机供油时断时续，造成发动机最终熄火。,2017/2/5 0:00,EQ1090型汽车,北京,行驶摇头,钢板销衬套,没有阅读说明书
2662, EQ1092FY型汽车漏水,当发动机工作时，因机体温度升高，冷却水受热膨胀而将多余的水通过水箱盖排水阀门排人膨胀水箱，而发动机熄火冷却后，机体温度降低，冷却水冷却，体积缩小。在水箱工作正常时，膨胀水箱里的水在真空作用下，通过水箱盖回水问将水补人水箱。当水箱盖回水间卡死时，膨胀水箱内的水无法补回水箱，在真空作用下，上水管被吸瘪开裂。,我部一辆EQ 1092FY型汽车在送修前已更换5次水箱上水管，每次更换后行驶不久，就被吸瘪开裂，造成漏水。,2017/2/5 0:00,EQ1090型汽车,北京,漏水,水箱盖,修理不当
2663, EQ1090型汽车发动机正时齿轮损坏,EQ 1090型汽车有关技术标准规定，发动机气缸体上曲轴轴承孔轴线与凸轮轴轴承孔轴线的平面度公差为0．10mm，两轴的第一道轴承孔的轴线距离应为133．35+0.05mm。从标准的要求来看，两齿轮的中心距只能大而不能小。一对相啮合的标准齿轮在分度圆与节圆重合时即出现无齿侧隙啮合。此两齿轮中心距都小于标准中心距，再加上正时齿轮的传动比为2 ,一辆运行了20万 km的 EQ1090型汽车大修后，出现每行驶300km－500km时，正时齿轮即损坏。吊下发动机解体检查，对装正时齿轮的发动机曲轴和凸轮轴轴颈的径向跳动进行测量，没有发现问题。在对发动机气缸体上的曲轴轴线与凸轮轴轴线间的距离进行测量时，发现此距离为133．20mm，比标准要求小了0．15mm，从而造成正时齿轮损坏。,2017/2/5 0:00,EQ1090型汽车,北京,齿轮损坏,齿轮,上次修理失当
2664, EQ1090型汽车发动机齿轮损坏,EQ 1090型汽车有关技术标准规定，发动机气缸体上曲轴轴承孔轴线与凸轮轴轴承孔轴线的平面度公差为0．10mm，两轴的第一道轴承孔的轴线距离应为133．35+0.05mm。从标准的要求来看，两齿轮的中心距只能大而不能小。此两齿轮中心距都小于标准中心距，再加上正时齿轮的传动比为2 ,一辆运行了20万 km的 EQ1090型汽车出现每行驶300km－500km时，齿轮即损坏。在对发动机气缸体上的曲轴轴线与凸轮轴轴线间的距离进行测量时，发现此距离比标准要求小了0．17mm，从而造成正时齿轮损坏。,2017/2/5 0:00,EQ1090型汽车,北京,齿轮损坏,齿轮,粗心
2665, EQ1090型汽车起动困难 ,正常情况下，发动机中、高速时电器设备是由发电机供电，怠速时则由蓄电地供电。经分析，故障出在电源保险装置或电流表的可能很大。检查发现电流表接线柱松动，绝缘胶垫烧焦，但未接铁。这是由于电流表接线柱松动，电流表通电不畅，在烧坏绝缘胶垫的同时电阻增大，使电流表通过的电流仅能维持发动机用手摇柄起动所需的电能，而不能克服起动继电器触点弹簧的拉力，故起动发动机时起动机不转。而开灯或按喇叭时要消耗电能，使点火系不能正常工作，并导致发动机怠速熄火。更换绝缘胶垫，紧固电流表接线柱，故障现象消失。,一辆东风 EQ1090型汽车，起动发动机时起动机不转，但用手摇柄却能顺利起动。怠速时，不能使用电器设备。如开灯或按喇叭，发动机就熄火，而中、高速时使用各种电器设备对发动机无影响。开始怀疑蓄电池电压不足，用螺丝刀短接起动机蓄电池接柱与起动机磁场接柱，起动机立即转动，说明蓄电池电量充足，起动机完好。故障有可能出在点火开关至起动继电器的电路中。检查从点火开关至起动继电器线路、继电器线圈等均无异常现象。,2017/2/5 0:00,EQ1090型汽车,北京,起动困难 ,电流表,没有阅读说明书
2666, EQ1090型汽车起动困难 ,正常情况下，发动机中、高速时电器设备是由发电机供电。经分析，故障出在电源保险装置或电流表的可能很大。检查发现电流表接线柱松动，绝缘胶垫烧焦，但未接铁。而开灯或按喇叭时要消耗电能，使点火系不能正常工作，并导致发动机怠速熄火。更换绝缘胶垫，故障现象消失。,一辆东风 EQ1090型汽车，起动发动机时起动机不转，但用手摇柄却能顺利起动。如开灯或按喇叭，发动机就熄火，而中、高速时使用各种电器设备对发动机无影响。开始怀疑蓄电池电压不足，用螺丝刀短接起动机蓄电池接柱与起动机磁场接柱，起动机立即转动，起动机完好。,2017/2/5 0:00,EQ1090型汽车,北京,起动困难 ,电流表,不懂保养汽车
2667, EQ144型汽车轮胎异常,经检修发现后桥左后钢板弹簧中心螺栓切断，左后板簧总成在后桥壳上的位置也发生了改变，左右轴距差超限（达5 mm以上）。虽然两前轮位于直线行驶，但因后桥两边轮胎已向右偏转了一定角度，致使汽车自动向左转动，须用手向右拉动方向盘，才能保持直线行驶。同时，由于汽车轴距发生了改变，引起了轮胎偏磨。更换新件，故障消失。,一辆东风 EQ144型汽车，经一段时间的使用后发现左后轮胎磨胎现象比较严重。其胎冠正中有大块帘线露出，胎肩磨成锯齿形，其它胎也有轻度伤胎现象。而且在行驶中方向盘要用手向右拉住，否则会自动跑向左边；右转弯时和急转弯处均要打倒车才能通过。,2017/2/5 0:00,EQ144型汽车,北京,轮胎异常,轮胎,操作分心
2668, EQ1090型汽车变速器重载跳档  ,分析该变速器重载跳挡的原因是,一辆东风E01090型汽车在行驶中出现下列现象,2017/2/5 0:00,EQ1090型汽车,北京,发动机固定螺栓松脱,发动机,上次修理失当
2669, EQ1090型汽车硅整流发电机不发电,发电机发电时，在电枢接线柱上短路试火所产生的电流可能将三相绕组和整流二极管烧坏，而刮火电流的突然变化会使三相绕组感应出高压电，可能将二极管反向击穿。我们可用下列方法检查判断其发生的部位。①对磁场线路的检查方法是，接通点火开关档，用起子杆部靠近发电机的后端。若起子杆有被磁力吸引的现象，说明发电机磁场线圈工作正常；若不受磁力吸引，则应卸掉发电机磁场导线接线柱“F”上的接头，在该接线柱上刮火。若无电火花，可能是点火开关至磁场线圈间出现断路。如,我部一辆东风 EQ1090型汽车发电机在正常行驶时，突然出现不发电故障。经检查发现，此故障是因为一项检查调节器磁场接线柱上的导线接头松脱故障时方法不当，将整流二极管烧坏，致使发电机不发电。,2017/2/15 0:00,EQ1090型汽车,北京,发电机故障,发电机,上次修理失当
2670, EQ1090型汽车分异响,经分析，原来是分电器传动轴弯曲后，由于磨损，其径向间隙增大至1．54mm，导致在运转中产生磨擦和异响。该声响在怠速较小，当转速提高到中这时最大，高速时由于杂音干扰反而听不清楚。,考虑到凸轮轴轴承的异响应是一种有节奏的问响，而该发动机在提高转这时响声加大，且凸轮轴附近没有震动感，因此排除了对凸轮轴轴承异响和凸轮轴正时齿轮响的怀疑，检查气门挺杆，也未发现异常。经分析认为故障可能是分电器传动轴严重磨损或弯曲变形而造成的异响。为此，我们更换了分电器传动轴，异响消除。,2017/2/15 0:00,EQ1090型汽车,北京,电器传动轴松动,电器传动轴,知道故障不修理
2671, EQ1090型汽车起动困难,由于驾驶员在保养化油器时，加速油道出油阀钢球掉人气缸，而导致踩动加速踏板时，钢球不能上行堵住虹吸孔，加速油道供油泄漏，造成起动较困难和没有加速性能。且在加速过程中，由于节气门陡然开启，而加速喷嘴不能参与供油，机械加浓和真空加浓装置又来不及参与工作，所以造成瞬时混合气过稀，导致发动机在急加速时熄火。又由于钢球落人气缸中导致异响，在此提醒驾驶员朋友们，在保养化油器时，一定要细心，不要漏装、错装，以免引起不应有的故障。,一辆 EQ1090型运输车，驾驶员就车保养化油器后，出现如下故障,2017/2/15 0:00,EQ1090型汽车,北京,起动困难 ,化油器,上次修理失当
2672, EQ1090型汽车启动困难,造成故障的原因是通风单向阀弹簧过硬。当使用起动机时，曲轴单向阀不能吸附在阀座上，使大量空气直接经单向阀座大孔经进气管进人气缸，降低了化油器的真空度，不仅造成混合气过稀，而且混合气也难以进人气缸，导致发动机起动困难。,一辆刚保养过的 EQ1090型汽车，在冷、热状态下均不易启动，特别是热车时，而当推车或向化油器中倒人适量汽油时，却易发动。,2017/2/15 0:00,EQ1090型汽车,北京,启动困难,曲轴箱通风单向阀,意外
2673, EQ1090型汽车冒黑烟,根据现象，首先进行断火检查，各气缸工作无明显变化。拆下各高压线，吊火检查，故障依然存在，且各分缸线跳火良好。其次路试时没有发现动力下降，可以排除气缸漏气的假想。通过进一步分析，认为少数缸不工作的可能性较大，于是检查、清洗火花塞之后，发现三缸火花塞绝缘陶瓷有裂纹，导致三缸不工作，换新品后，故障消失。,一辆东风EQ1090型汽车，发动机高。中、低速时消声器发出有节奏的“突突”声，且怠速稍高和慢加速时现象明显，拉阻风门无好转，观察尾气稍有黑烟。,2017/2/15 0:00,EQ1090型汽车,北京,冒黑烟,火花塞,操作分心
2674, EQ1090型汽车变速器跳挡,针对变速器各装置正常却频繁跳挡的现象，怀疑故障可能是出在离合器或飞轮、飞轮壳等部位。拆下离合器检查，未发现异常。当从发动机缸体上拆下飞轮壳时，发现没有装飞轮壳定位销。,一辆东风  EQ1090型汽车大修后，变速器出现跳挡现象。拆下变速器检查，其操纵机构、传动机构均无故障。,2017/2/15 0:00,EQ1090型汽车,北京,变速器跳挡,变速器,操作分心
