tag_id,tag_name,tag_count,tag_type
354,曲轴箱,1,器件
355,跳挡,1,故障
356,垫片,1,器件
357,熄火困难,1,故障
364,转向困难,1,故障
366,方向盘故障,1,故障
367,方向盘,1,器件
370,储油罐,1,器件
371,触点烧蚀,1,故障
378,耗油过大,1,故障
379,飞轮损坏,1,故障
384,转换器,1,器件
392,组合仪表,1,器件
394,油管,1,器件
395,驱动齿轮,1,器件
396,中控锁故障,1,故障
397,电机,1,器件
400,钢板弹簧栓,1,器件
401,离合器发料,1,故障
402,分电器断电臂,1,器件
407,PCV阀,1,器件
408,凸轮轴承,1,器件
410,激磁二极管,1,器件
411,活动触点臂,1,器件
413,仪表不显示,1,故障
414,换档冲击,1,故障
415,电磁阀,1,器件
416,故障灯闪烁,1,故障
418,熄火，发动机故障,1,故障
419,排气门,1,器件
420,三元催化转换器,1,器件
422,空调压缩机跳动,1,故障
423,压力开关,1,器件
424,信号线,1,器件
426,低压管,1,器件
427,电阻,1,器件
428,转子轴,1,器件
429,倒车灯不亮,1,故障
430,无倒档,1,故障
431,防盗器,1,器件
432,曲轴位置传感器，发动机电子控制器ECU插接头,1,器件
434,发动机回火,1,故障
436,变速箱电脑,1,器件
438,灯常亮,1,故障
439,线,1,器件
440,通气口,1,器件
443,分电器,1,器件
444,启动机开关,1,器件
446,制动液温度过高，刹车失灵,1,故障
447,制动毂，蹄片,1,器件
450,起动机损坏,1,故障
451,节温器，冷却系,1,器件
452,二极管接线螺杆,1,器件
453,怠速控制阀,1,器件
454,节气门位置传感器怠速开关,1,器件
455,进气管,1,器件
457,排气系统,1,器件
460,节气门,1,器件
462,分离轴承,1,器件
463,从动盘,1,器件
465,转向系,1,器件
468,电刷,1,器件
469,调节器,1,器件
471,电磁开关,1,器件
472,高压无火,1,故障
473,感应线圈,1,器件
474,水温传感器,1,器件
475,空气流量计,1,器件
476,发动机缺火,1,故障
477,钢板弹簧U型固定螺栓,1,器件
478,熄火，发动不着,1,故障
479,汽缸垫,1,器件
480,自动变速器不跳四档故障,1,故障
481,三元催化器,1,器件
482,轴承盖螺栓,1,器件
483,连杆轴承，轴颈,1,器件
484,气门推杆,1,器件
486,气泵皮带,1,器件
487,喷油提前角,1,器件
488,气门脚,1,器件
489,熄火难,1,故障
491,风扇离合器,1,器件
492,冷却系统故障,1,故障
493,引擎,1,器件
494,变速器换挡困难,1,故障
495,变速器乱档,1,故障
496,燃润料消耗异常,1,故障
497,过热现象,1,故障
499,柱塞锈蚀,1,故障
500,散热器开关,1,故障
501,油路中的空气排不净,1,故障
502,螺栓垫片,1,器件
503,耗油量明显增加、运行中加速不良,1,故障
504,螺钉,1,器件
505,化油器保养不当,1,故障
506,电阻断路,1,故障
507,单向阀弹簧,1,器件
508,加速时有节奏的异响,1,故障
509,飞轮壳易损坏,1,故障
510,消声器冒黑烟,1,故障
511,火花塞陶,1,器件
512,变速器跳档,1,故障
513,定位销,1,器件
514,五缸连杆瓦,1,器件
515,排出大量蓝烟,1,故障
517,绝缘垫,1,器件
518,冒黑烟，动力不足,1,故障
519,爬坡无力,1,故障
520,火线圈，点火开关,1,器件
521,化油器异响,1,故障
522,螺母,1,器件
523,打转向沉重费力,1,故障
524,油表不准,1,故障
525,油表显示器,1,器件
528,制动不灵敏,1,故障
529,制动液,1,器件
530,故障灯无故亮起,1,故障
531,故障灯,1,器件
532,不能起动,1,故障
533,油表指针下降得很慢,1,故障
534,油表,1,器件
535,电压的原因,1,故障
536,车窗,1,器件
537,车间异味,1,故障
538,车内,1,器件
539,车体有异响,1,故障
541,脱档,1,故障
542,扁线束,1,器件
547,发动机机油压力指示表显示异常,1,故障
548,加速时机油压力指示灯会点亮,1,故障
549,机油压力指示灯,1,器件
551,行驶时车辆的转向盘难于操纵,1,故障
552,转向盘,1,器件
554,转向灯点亮时闪烁的频率比平时快,1,故障
555,转向灯,1,器件
560,起动机运转无力,1,故障
561,制动时熄火,1,故障
562,真空阀,1,器件
563,烧机油,1,故障
564,机油,1,器件
565,发动机不能起动,1,故障
566,发动机工作不正常,1,故障
567,油泵破裂,1,故障
568,油泵,1,器件
570,发动机烧机油故障,1,故障
571,进排气歧管衬垫烧穿,1,故障
572,进排气歧管衬垫,1,器件
573,发动机动力下降,1,故障
575,起动机空转,1,故障
576,发电机充电量过大,1,故障
577,气缸不工作,1,故障
578,机油泵驱动齿轮异响故障,1,故障
579,骊山LS6911,1,器件
580,起动系疑难故障,1,故障
581,造成连续烧瓦,1,故障
582,轮轴螺孔,1,器件
583,制动气压不足,1,故障
584,电路,1,器件
585,单缸电时试验机不能起动探因,1,故障
586,单缸,1,器件
588,汽车摆头,1,故障
589,弹簧,1,器件
590,锁止失效,1,故障
591,锁片,1,器件
592,“哧哧”声,1,故障
593,气泵一轴承,1,器件
594,怠速不稳且不易起动,1,故障
595,化油器故障,1,故障
596,缺门反复发响,1,故障
598,配气相位严重错乱,1,故障
599,分电器盖窜电,1,故障
600,经常不来油,1,故障
601,起动机无反应,1,故障
602,汽油发动机故障,1,故障
603,汽油发动机,1,器件
604,空调不制冷,1,故障
606,点火线圈突然爆炸,1,故障
607,起动机故障,1,故障
608,起动机不转动,1,故障
609,"发动机低速时的""吱吱""声",1,故障
610,活塞环,1,器件
611,制动跑偏故障,1,故障
612,离合器传动销故障,1,故障
613,发动机更换气缸后无法起动,1,故障
614,刚大修的发动机严重烧润滑铀,1,故障
615,发电机不发电故障,1,故障
616,使用制动后不发电,1,故障
617,化油器严重回火故障,1,故障
618,急加速不良,1,故障
620,汽油管路及汽油泵,1,器件
622,灯泡座被污物覆盖,1,故障
623,灯泡座,1,器件
624,高温易熄火,1,故障
625,踩制动踏板时大灯亮,1,故障
626,制动踏板,1,器件
627,交流发电机不发电故障,1,故障
628,交流发电机,1,器件
629,扭杆弹力失准与变速器故障,1,故障
630,扭杆与变速器,1,器件
631,排气管“隆、隆”声,1,故障
632,分离轴承烧蚀引发的故障,1,故障
633,分离轴,1,器件
634,发动机连续“抱轴”,1,故障
635,变速器出现齿轮撞击声,1,故障
636,熔丝连续熔断,1,故障
637,熔丝,1,器件
638,无法启动故障,1,故障
639,空调不致冷,1,故障
640,发动机不能启动,1,故障
641,发动不着,1,故障
642,发动机间歇性无法启动,1,故障
643,不能启动,1,故障
644,费油,1,故障
645,变速箱,1,器件
646,中控门锁突然失灵故障,1,故障
647,中控门锁,1,器件
648,启动机故障,1,故障
649,启动机,1,器件
651,无法启动,1,故障
652,突然熄火后不能启动,1,故障
653,柴油机着火敲击声,1,故障
654,气门脚响,1,故障
655,凸轮轴轴承响,1,故障
656,凸轮轴轴,1,器件
