tag_id,tag_name,tag_count
308,水箱开锅,1
312,燃爆限制器,1
315,垫板,1
318,汽油泵,1
320,气缸盖碗形塞锈穿,1
322,气缸盖锈穿,1
323,汽油泵故障,1
324,分缸线故障,1
325,分缸线,1
326,漏油,1
328,行驶摇头,1
329,钢板销衬套,1
330,漏水,1
331,水箱盖,1
336,轮胎异常,1
338,发动机固定螺栓松脱,1
341,电器传动轴松动,1
342,电器传动轴,1
344,曲轴箱通风单向阀,1
347,变速器跳挡,1
350,蓄电池损坏,1
352,大量漏油,1
353,机油泵,1
354,曲轴箱,1
355,跳挡,1
356,垫片,1
357,熄火困难,1
364,转向困难,1
366,方向盘故障,1
367,方向盘,1
370,储油罐,1
371,触点烧蚀,1
378,耗油过大,1
379,飞轮损坏,1
384,转换器,1
392,组合仪表,1
394,油管,1
395,驱动齿轮,1
396,中控锁故障,1
397,电机,1
400,钢板弹簧栓,1
401,离合器发料,1
402,分电器断电臂,1
407,PCV阀,1
408,凸轮轴承,1
410,激磁二极管,1
411,活动触点臂,1
413,仪表不显示,1
414,换档冲击,1
415,电磁阀,1
416,故障灯闪烁,1
418,熄火，发动机故障,1
419,排气门,1
420,三元催化转换器,1
422,空调压缩机跳动,1
423,压力开关,1
424,信号线,1
426,低压管,1
427,电阻,1
428,转子轴,1
429,倒车灯不亮,1
430,无倒档,1
431,防盗器,1
432,曲轴位置传感器，发动机电子控制器ECU插接头,1
434,发动机回火,1
436,变速箱电脑,1
438,灯常亮,1
439,线,1
440,通气口,1
443,分电器,1
444,启动机开关,1
446,制动液温度过高，刹车失灵,1
447,制动毂，蹄片,1
450,起动机损坏,1
451,节温器，冷却系,1
452,二极管接线螺杆,1
453,怠速控制阀,1
454,节气门位置传感器怠速开关,1
455,进气管,1
457,排气系统,1
460,节气门,1
462,分离轴承,1
463,从动盘,1
465,转向系,1
468,电刷,1
469,调节器,1
471,电磁开关,1
472,高压无火,1
473,感应线圈,1
474,水温传感器,1
475,空气流量计,1
476,发动机缺火,1
477,钢板弹簧U型固定螺栓,1
478,熄火，发动不着,1
479,汽缸垫,1
480,自动变速器不跳四档故障,1
481,三元催化器,1
482,轴承盖螺栓,1
483,连杆轴承，轴颈,1
484,气门推杆,1
486,气泵皮带,1
487,喷油提前角,1
488,气门脚,1
489,熄火难,1
491,风扇离合器,1
492,冷却系统故障,1
493,引擎,1
494,变速器换挡困难,1
495,变速器乱档,1
496,燃润料消耗异常,1
497,过热现象,1
499,柱塞锈蚀,1
500,散热器开关,1
501,油路中的空气排不净,1
502,螺栓垫片,1
503,耗油量明显增加、运行中加速不良,1
504,螺钉,1
505,化油器保养不当,1
506,电阻断路,1
507,单向阀弹簧,1
508,加速时有节奏的异响,1
509,飞轮壳易损坏,1
510,消声器冒黑烟,1
511,火花塞陶,1
512,变速器跳档,1
513,定位销,1
514,五缸连杆瓦,1
515,排出大量蓝烟,1
517,绝缘垫,1
518,冒黑烟，动力不足,1
519,爬坡无力,1
520,火线圈，点火开关,1
521,化油器异响,1
522,螺母,1
523,打转向沉重费力,1
524,油表不准,1
525,油表显示器,1
528,制动不灵敏,1
529,制动液,1
530,故障灯无故亮起,1
531,故障灯,1
532,不能起动,1
533,油表指针下降得很慢,1
534,油表,1
535,电压的原因,1
536,车窗,1
537,车间异味,1
538,车内,1
539,车体有异响,1
541,脱档,1
542,扁线束,1
547,发动机机油压力指示表显示异常,1
548,加速时机油压力指示灯会点亮,1
549,机油压力指示灯,1
551,行驶时车辆的转向盘难于操纵,1
552,转向盘,1
554,转向灯点亮时闪烁的频率比平时快,1
555,转向灯,1
560,起动机运转无力,1
561,制动时熄火,1
562,真空阀,1
563,烧机油,1
564,机油,1
565,发动机不能起动,1
566,发动机工作不正常,1
567,油泵破裂,1
568,油泵,1
570,发动机烧机油故障,1
571,进排气歧管衬垫烧穿,1
572,进排气歧管衬垫,1
573,发动机动力下降,1
575,起动机空转,1
576,发电机充电量过大,1
577,气缸不工作,1
578,机油泵驱动齿轮异响故障,1
579,骊山LS6911,1
580,起动系疑难故障,1
581,造成连续烧瓦,1
582,轮轴螺孔,1
583,制动气压不足,1
584,电路,1
585,单缸电时试验机不能起动探因,1
586,单缸,1
588,汽车摆头,1
589,弹簧,1
590,锁止失效,1
591,锁片,1
592,“哧哧”声,1
593,气泵一轴承,1
594,怠速不稳且不易起动,1
595,化油器故障,1
596,缺门反复发响,1
598,配气相位严重错乱,1
599,分电器盖窜电,1
600,经常不来油,1
601,起动机无反应,1
602,汽油发动机故障,1
603,汽油发动机,1
604,空调不制冷,1
606,点火线圈突然爆炸,1
607,起动机故障,1
608,起动机不转动,1
609,"发动机低速时的""吱吱""声",1
610,活塞环,1
611,制动跑偏故障,1
612,离合器传动销故障,1
613,发动机更换气缸后无法起动,1
614,刚大修的发动机严重烧润滑铀,1
615,发电机不发电故障,1
616,使用制动后不发电,1
617,化油器严重回火故障,1
618,急加速不良,1
620,汽油管路及汽油泵,1
622,灯泡座被污物覆盖,1
623,灯泡座,1
624,高温易熄火,1
625,踩制动踏板时大灯亮,1
626,制动踏板,1
627,交流发电机不发电故障,1
628,交流发电机,1
629,扭杆弹力失准与变速器故障,1
630,扭杆与变速器,1
631,排气管“隆、隆”声,1
632,分离轴承烧蚀引发的故障,1
633,分离轴,1
634,发动机连续“抱轴”,1
635,变速器出现齿轮撞击声,1
636,熔丝连续熔断,1
637,熔丝,1
638,无法启动故障,1
639,空调不致冷,1
640,发动机不能启动,1
641,发动不着,1
642,发动机间歇性无法启动,1
643,不能启动,1
644,费油,1
645,变速箱,1
646,中控门锁突然失灵故障,1
647,中控门锁,1
648,启动机故障,1
649,启动机,1
651,无法启动,1
652,突然熄火后不能启动,1
653,柴油机着火敲击声,1
654,气门脚响,1
655,凸轮轴轴承响,1
656,凸轮轴轴,1
